"X","id","titulo","pago","numInscritos","avaliacao","numCriticas","desconto","preco"
11560,794151,"Forex Trading Course: Work Smarter Not Harder","False",13141,4.30951,331,0,0
11561,1543996,"QuickBooks Online - Up and Running","False",6660,4.34293,331,0,0
11562,662450,"How I Trade Forex Successfully","False",11925,3.93617,318,0,0
11563,1465578,"Beginner’s Guide To Investing In Asian Stock Markets","False",6828,4.10579,317,0,0
11564,3018180,"Stock Market Basics- Technical Analysis","False",4567,4.38639,308,0,0
11565,1343970,"Financial Accounting-Debits & Credits-Accounting Transaction","False",10785,4.24623,306,0,0
11566,1303548,"Goods and Services Tax Registration","False",5691,3.91431,300,0,0
11567,790192,"What is a Stock Option?","False",6158,4.20492,298,0,0
11568,1065762,"Beginners Binary Options Training Course","False",8136,4.3536,293,0,0
11569,1524010,"Financial Habits and Behaviours","False",7184,4.09216,279,0,0
11570,1329440,"Free Secrets To Making Money Trading Binary Options","False",9079,4.03096,271,0,0
11571,2471182,"How to Profit From Stocks Going Down by Short-Selling","False",4759,4.28257,266,0,0
11572,1548588,"Cryptocurrency Trading And ICO Investment Course","False",9348,4.09925,264,0,0
11573,634732,"Investing Online : Secret Jugaad to Identify Multibaggers","False",8706,4.14813,263,0,0
11574,1349668,"Digital Currency - 5 Reasons People Fail and 5 Solutions","False",7959,3.81588,258,0,0
11575,1540428,"Elliott Wave Course - Forex & CFD - Intermediate & Advanced","False",6866,4.20072,242,0,0
11576,1020244,"Mental Models For Wall Street - Become A Better Trader","False",7410,4.0863,238,0,0
11577,1810786,"How to PROFIT from the stock market SAFELY with ETF-Complete","False",10920,4.18974,237,0,0
11578,2814631,"Learn Accounting Basics in Minutes for Free","False",7635,4.39469,253,0,0
11579,1587896,"Cloud Accounting Course","False",7071,3.98969,229,0,0
11580,708836,"The dfree® Academy: 12 Steps to Financial Freedom","False",7089,4.57929,213,0,0
11581,948772,"Stock Market Beginners Analysis Secret","False",5415,4.24019,197,0,0
11582,1822698,"Blockchain Technology and Innovation for Beginners - TEC102","False",5675,4.5899,194,0,0
11583,93878,"Master a Financial Management Habit & Worry No More","False",13113,3.96543,185,0,0
11584,1068986,"How To Profit From Stock Market Volatility","False",8007,4.12802,184,0,0
11585,1480390,"Beginner's Guide to Bitcoin Altcoins and Cryptocurrencies","False",8219,4.19803,183,0,0
11586,2323950,"5 Bookkeeping Basics for Creative Entrepreneurs (US)","False",4103,4.56467,176,0,0
11587,3212029,"Basics of Personal Finance - 2020","False",1411,4.24133,170,0,0
11588,1194426,"Introductory Course in Binary Options Trading + eBook (2020)","False",6462,4.22141,168,0,0
11589,2249466,"Online Investing Fundamentals: Understanding Core Principles","False",5729,4.23207,168,0,0
11590,1222364,"Personal Finance Hacking (US Edition)","False",8221,3.92841,166,0,0
11591,1245244,"Building Financial Statements in Excel","False",3955,3.94611,161,0,0
11592,2893432,"How to invest in Stocks ? A Complete Guide for beginners","False",3231,4.04902,157,0,0
11593,385218,"Social Media for Financial Services","False",11499,3.98919,154,0,0
11594,61844,"Understanding Loans","False",8653,4.03833,153,0,0
11595,1684066,"Stock Investing Level 1","False",4472,3.77986,152,0,0
11596,2839094,"Crash Course - Japanese Candlesticks Trading Mastery Program","False",3599,4.59944,150,0,0
11597,1342032,"Horizontal support and resistance levels in trading","False",4732,4.32635,147,0,0
11598,2286131,"Financial Ratios Simplified : A practicle guide","False",5774,3.78463,144,0,0
11599,1614802,"Straightforward Technical Analysis for Beginners","False",4506,3.9276,142,0,0
11600,1667606,"The Euro: the History, Issues and Solutions - Alfred Mifsud","False",3156,4.35151,141,0,0
11601,805468,"Getting to Know QuickBooks®  Online","False",3101,4.32512,135,0,0
11602,1585736,"Blockchain - Complete reference","False",6765,4.06584,134,0,0
11603,778618,"Certified Public Accountant Tax Preparation Tutorial","False",4775,4.11234,132,0,0
11604,1648848,"Blockchain, Cryptocurrency, Bitcoin and Mining","False",5010,4.0904,131,0,0
11605,1228424,"The Ultimate Guide to Financial Freedom","False",5050,4.29446,128,0,0
11606,1629014,"Wall Street Market Makers","False",3147,4.11728,124,0,0
11607,44785,"Assessing Your Financial Fitness","False",11829,3.97853,122,0,0
11608,2613922,"The complete investment fundamentals course 2020","False",3525,3.98316,119,0,0
11609,2080520,"Personal Finance - know sources of extra income & investment","False",5340,4.02083,113,0,0
11610,2206770,"Personal Finance for the Employed: Budget, Save and Spend","False",4859,4.27654,112,0,0
11611,2754428,"Accounting Fundamentals in 30 minutes","False",1951,4.0656,109,0,0
11612,3354140,"Stock Market Trading with Technical Analysis","False",9206,4.28653,107,0,0
11613,662996,"The Tax Advantaged Investor: A Guide to Legal Tax Reduction!","False",6770,4.25665,103,0,0
11614,1454210,"Simple Forex Trading Course for Beginners","False",4090,4.27084,102,0,0
11615,1295660,"Be 100% GST Compliant With Microsoft Dynamics NAV","False",5092,4.22601,96,0,0
